Region,Sub-region,Pathology,Tissue,Program,treatmentPlanText
Foot,Dorsal Foot,Inter-metatarsal irritation,Cartilage,minorInjury,Squeeze test of the toe box theoretically compresses as a  Intermetatarsal space → joint/capsular region
Foot,Plantar Heel,Talocalcaneal Joint Pain,Cartilage,majorInjury,Activity modification avoiding forced plantarflexion; physical therapy for ankle mobility and strength; may require surgical debridement if refractory.
Foot,Posterior Heel Pain,Posterior Ankle Impingement,Cartilage,majorInjury,"Impingement at posterior ankle joint. Posterior ankle pain with plantarflexion, os trigonum tenderness. Modify activities first to avoid irritating cartilage ie downhills, aggressive plantar flexion. Progress rehabilitation towards stability and dynamic in other planes of ROM.  Surgical and imaging referral if refractory to 3-6 months conservative care"
Knee,Anterior Knee Pain,"Patella, femur, tibial plateau and tubercle joint irritation/arthritis",Cartilage,majorInjury,"Avoid hopping and impact, and deep flexion squats. Try spanish squats, straight leg raise, decline squats. Promote cycling, progress with running drills before running. Swelling via swipe test may be an indicator of overloading the structures during a session."
Knee,Anterior Knee Pain,Meniscus,Cartilage,majorInjury,"Make sure to help client understand between age-related meniscal tears (horizontal, asymptomatic) vs traumatic (ie bucket handle radial, that are symptomatic). Thessaly's, and knee PROM helpful for ruling out, discuss hx to get idea to rule in. Do not hesistate to refer for Sports MD consult and imaging if symptoms do not improve in 2-3 weeks of treatment and locking-catching symptoms persist. "
Knee,Medial Knee Pain,Patellofemoral pain,Mixed,minorInjury,"Avoid speed, build volume. Hip and knee loading exercises, ?taping. May require angle specific open chain for inferior or superior pole irritation"
Knee,Medial Knee Pain,Synovial Plica Irritation,Cartilage,majorInjury,"Blunt trauma or sudden increases in activity can cause plica inflammation, fibrosis, and subsequent impingement, leading to anteromedial knee pain particularly in adolescents. Unload and desensitize and then progress (?)"
Knee,Medial Knee Pain,Medial Meniscus,Cartilage,majorInjury,"Monitor for swelling after activity and running. Caution for impact, and deep flexion. Progressive with loading of quads, hamstrings and hips"
Knee,Medial Knee Pain,Tibiofemoral Arthritis,Cartilage,majorInjury,"Monitor for swelling after activity and running. Caution for impact, and deep flexion. Progressive with loading of quads, hamstrings and hips"
Knee,Posterior Knee Pain,Baker’s Cyst,Cartilage,majorInjury,"Synovial outpouching related to joint. Investigate root cause of cyst, and promote cycling to reduce swelling"
Knee,Lateral Knee Pain,Lateral meniscus,Cartilage,majorInjury,"Monitor for swelling after activity and running. Caution for impact, and deep flexion. Progressive with loading of quads, hamstrings and hips"
Hip & Groin,Anterior Hip,Femoral Acetabular Impingement,Cartilage,majorInjury,"FAI is joint-driven impingement (cam/ pincer) type. Look for Anterior hip/groin pain with flexion/internal rotation, positive impingement test. Progress with running and exercises that are symptom free and not within impingement positions. Referral for surgical/sport MD consult if activity-limiting symptoms despite PT. No strong relationship between FAI and hip-OA but avoid pain provoking movements if able. Un-warranted scoping may contribute to early OA."
Hip & Groin,Anterior Hip,Coxo-femoral arthritis,Cartilage,majorInjury,"Monitor for swelling after activity and running. Caution for impact, and deep flexion, internal rotation and adduction of hip. Progressive with loading of hip extensors, abductors, external rotators then progress into flexors, internal rotators, adductors."
Hip & Groin,Thigh,Coxo-femoral arthritis,Cartilage,majorInjury,"Monitor for swelling after activity and running. Caution for impact, and deep flexion, internal rotation and adduction of hip. Progressive with loading of hip extensors, abductors, external rotators then progress into flexors, internal rotators, adductors."
Hip & Groin,Lateral Hip,Coxo-femoral arthritis,Cartilage,majorInjury,"Monitor for swelling after activity and running. Caution for impact, and deep flexion, internal rotation and adduction of hip. Progressive with loading of hip extensors, abductors, external rotators then progress into flexors, internal rotators, adductors."
Hip & Groin,Pubalgia,Pubic symphysitis,Cartilage,majorInjury,Very painful palpation. Rule of Laslett's Cluster. Monitor during pregnancy and post-partum. Focus on core stabilizing exercises and progress them to functional exercises
Hip & Groin,Posterior Hip,Sacro-iliac pain,Cartilage,majorInjury,Use Laslett's Cluster to Rule Out. Monitor during pregnancy and post-partum. Focus on core stabilizing exercises and progress them to functional exercises
Foot,Dorsal Foot,Midfoot Sprain ,Ligament,majorInjury,"Likely will need repeated imaging and re-assessment. Remember the affected Capsulo-Ligamentous Injury of Tarsal and Tarsal-metatarsal joints. Progress from static stability, to dynamic and plyometric stability. Query 6-8 weeks for progress?"
Leg,Anterolateral Leg,Ankle Syndesmosis Sprain,Ligament,majorInjury,"Use splay test, or external rotation test to assess for pain, separation and correlate with instability ankle symptoms. Focus on ankle stability on unstable surfaces. "
Knee,Medial Knee Pain,Medial collateral ligament,Ligament,majorInjury,"May require brace and follow up with Sports Med. Heals the fastest out of the 4 ligaments, assess if ACL or medial meniscus hurt as well. Knee stabilizing exercises of the vastus medialis."
Knee,Lateral Knee Pain,"Lateral collateral ligament, Coronary Ligament",Ligament,majorInjury,"Focus on hamstring and quadriceps strengthening exercises, progress to single leg proprioception and stability. "
Knee,Lateral Knee Pain,Lateral Retinaculum,Ligament,majorInjury,"Unlikely to be an isolated cause of lateral knee pain but could be a factor as IT band may insert there. Taping may improve pain as a placebo? Decrease time on manual therapy. Focus on proprioception, balance"
Hip & Groin,Lateral Hip,"Sacro-tuberous and iliac ligaments, labral injury",Ligament,majorInjury,"Ensure single leg stability, and adductor muscles are strong enough to asborp impact forces. Practice running drills ABCs."
Hip & Groin,Pubalgia,"Inguinal, superior and inferior pubic ligaments",Ligament,majorInjury,"Ensure single leg stability, and adductor muscles are strong enough to asborp impact forces. Practice running drills ABCs."
Foot,Dorsal Foot,Interossei muscles,Myofascial,minorInjury,Walk barefoot and progress to walk/run barefoot. Hop with toes up
Foot,Plantar Heel,Quadratus Plantae pain,Myofascial,minorInjury,Walk barefoot and progress to walk/run barefoot. Hop with toes up
Leg,Anterolateral Leg,Compartment Syndrome,Myofascial,majorInjury,Try reducing heel-to-ground angle; try forefoot strike then wean off with cadence improvements. Do not promote surgical fasciotomy as it will not resolve the underlying issues of biomechanics.
Leg,Anterolateral Leg,Dorsiflexor myofascial pain,Myofascial,minorInjury,Try reducing heel-to-ground angle; try forefoot strike then wean off with cadence improvements. Load with banded exercises throughout dorisflexion range to improve tissue tolerance. Progress to uphill running slowly.
Leg,Posteromedial Leg,Compartment Syndrome,Myofascial,majorInjury,"Try changing to forefoot strike, walk run intervals"
Leg,Posteromedial Leg,Triceps Surae,Myofascial,minorInjury,Load muscle throughout entire ROM. Include both soleus and gastrocnemius variations to maximize stimulation of muscles. Progress with volume first before speed.
Knee,Posterior Knee Pain,"Popliteus, upper gastrocnemius injury, plantaris",Myofascial,minorInjury,"Rare running injuries, look for compression clothing that may be irritating muscles. External tibial rotation may be needed to load poplteus more (include in both heel slides and lunges)"
Knee,Lateral Knee Pain,Biceps femoris,Myofascial,minorInjury,"Commonly occurs from sprinting, speedwork and hill workouts. Load initially in prone or seated with tibia internally rotated. Ensure to go through entire ROM. Progress slowly with volume first and then speed."
Knee,Lateral Knee Pain,Popliteus,Myofascial,minorInjury,"Rare running injury, look for compression clothing that may be irritating muscles. External tibial rotation may be needed to load poplteus more (include in both heel slides and lunges)"
Knee,Lateral Knee Pain,Tibialis Anterior,Myofascial,minorInjury,"This may be due to a high foot-strike angle (similar to MTSS), and over striding. Practice minimizing stride length, running softly and having a smaller stack and drop on shoes, running drills and running frequency before increasing distance or speed. Identify the aggravating factors, load the muscle in isolation and expose muscle back to aggravating factors."
Knee,Lateral Knee Pain,Fibularis longus,Myofascial,minorInjury,"This may be due to downhill running, or track and field, but also a heavier and more stacked shoe if the ankle ends up supinating more than usual. Identify the aggravating factors, load the muscle in isolation and expose muscle back to aggravating factors."
Knee,Lateral Knee Pain,Vastus lateralis,Myofascial,minorInjury,"Downhill running may often be culprit for these injures. Load the vastus lateralis in seated or supine position concentrically/eccentrically. Proceed with squats, lunges and progress most importantly to intervals of downhill running which is key to returning to baseline. "
Knee,Lateral Knee Pain,Soleus,Myofascial,minorInjury,"Bias feet medially + knee flexion to load the lateral soleus. May explore running with different arch supports initially to minimize symptoms, but progress to barefoot running and running drills to increase intrinsic foot muscle strength and lateral soleus tolerance"
Knee,Lateral Knee Pain,Lateral gastrocnemius,Myofascial,minorInjury,"Bias feet medially + knee extension to load the lateral gastrocnemius May explore running with different arch supports initially to minimize symptoms, but progress to barefoot running and running drills to increase intrinsic foot muscle strength and lateral soleus tolerance"
Hip & Groin,Anterior Hip,"Internal obliques, Transversus, Rectus Abdominis Strain",Myofascial,minorInjury,"Diaphragmatic breathing, deadbug, single glute bridges, bridge on ball. Avoid sit-ups, crunches, bicycle crunches, heavy lifting."
Hip & Groin,Thigh,Hamstrings/Quadriceps Muscle Lesion,Myofascial,minorInjury,"Gentle dynamic stretching to maintain ROM, load gently from distal to proximal range, concentric/eccentric while maintaining tension through out.  Banded knee extension/flexion, progress to squats, lunges, reverse nordics."
Hip & Groin,Lateral Hip,"Glute Minimus, Tensor Fascia Lata, Vastus Lateralis",Myofascial,minorInjury,"Progress from clamshell, hip abductions in standing, single leg loading and plyometrics"
Hip & Groin,Lateral Hip,Myofascial pain of piriformis,Myofascial,minorInjury,"Progress from clamshell, hip abductions in standing, single leg loading and plyometrics"
Hip & Groin,Lateral Hip,"Myofascial pain of gemelli, quadratus femoris",Myofascial,minorInjury,"Progress from clamshell, hip external rotation in standing, single leg loading and plyometrics"
Hip & Groin,Pubalgia,Tears in external oblique aponeurosis,Myofascial,minorInjury,"Diaphragmatic breathing, deadbug, single glute bridges, bridge on ball. Avoid sit-ups, crunches, bicycle crunches, heavy lifting."
Hip & Groin,Posterior Hip,Gluteal Muscle Pain,Myofascial,minorInjury,"Challenging injury to manage since the surface area is so large and is exposed in hip flexion/compression (sitting) and in hip extension (standing, walking, running). Exercises performed in prone or standing. May require sleeping in prone or side-lying and avoiding any symptomatic sitting until pain is tolerable. Load early and consistently throughout range."
Foot,Plantar Foot,Interdigital Neuroma,Nerve,minorInjury,"Most frequent nerve entrapment; Morton's Neuroma. Compression of the interdigital nerves usually between the 3rd and 4th toes, confirm with squeeze test. Examine shoe to see if the toe box or toe-off in running is a culprit. Hallux valgus or a hypermobile 1st MTP may form calluses leading to a more narrow toe box and compression. Decrease dorsiflexion, increase forefoot and interdigital mobility, try wider shoes."
Foot,Dorsal Foot,Lateral Sural Nerve,Nerve,minorInjury,"Rare entrapment- SN is formed by the tibial and common peroneal nerve but may mimic gastrocnemius pain but tends to radiate past lateral malleolis and the 5th MTP. Identify compressing factors and perform sural nerve glides (sciatic glide but with plantar flexion, toe flexion and ankle inversion)"
Foot,Plantar Heel,Tarsal Tunnel Syndrome,Nerve,minorInjury,"Typically burning , cramping and tingling on the medial ankle. Relief at night and with rest. Ensure proximal sciatic nerve is not irritated. Sustained passive foot eversion and FH dorisflexion for diagnosis or Tinel's. Modify footwear according to symptoms, heel lift if pain in dorisflexion or medial arch if in pronation. Identify provocations in running assessment and remove compression.  MCN may arrive from a LPN or a bifurcation"
Foot,Dorsal Foot,Superficial Peroneal Nerve,Nerve,minorInjury,"Hx of chronic ankle sprains and muscle herniations is a risk factor. Confirm with dorsiflexion + eversion + Tinel's. Pain is usually a diffuse ache over the sinus tarsi. Rehab on ankle instability, proprioception, modify footwear if needed and promote nerve glides."
Foot,Dorsal Foot,Deep Peroneal Nerve,Nerve,minorInjury,"Entrapment may occur on the EHL and the extensor retinaculum, or osteophytes and it presents itself as an ache in the 1st web space. Rule out compartment syndrome. Footwear changes to avoid direct pressure. Try to reduce footstrike angle, hills. May require prolonged walk run intervals and sports med referal."
Foot,Plantar Foot,Lateral plantar nerve (Baxter's Nerve),Nerve,minorInjury,"Usually only the 1st branch LPN and it ends up on the quadratus plantae and abductor hallucis. Pain along the 4th and 5th toes. Pronation tends to irritate it during running. Important to differentiate from plantar fasciopathy as the pain is superior to the aponeurosis oprigin. Heel cups are helpful, ankle stability exercises are important as well as barefoot drills and running."
Foot,Plantar Foot,Medial plantar nerve,Nerve,minorInjury,"Pain along the medial heel and longitudinal arch, but more central. Entrapment occurs at abductor hallucis or FHL either internally by hypertrophy of the muscle or external compression via footwear. Branches of this nerve will branch out to 1st-3rd web spaces. Hallucis rigidis may be a factor to MPN pain as well. Desensitize tissue via modifying shoe or orthotics and increasing ankle stability, or improving running mechanics. "
Knee,Anterior Knee Pain,Infrapatellar branch of the saphenous nerve,Nerve,majorInjury,"Innervates the medial patella from the saphenous nerve. Try finding it from a prone position of hip extension, abduction, external rotation and some knee flexion to compress the branch on the medial patella"
Knee,Medial Knee Pain,Saphenous nerve,Nerve,majorInjury,"Confirm with hip extension, abduction, external rotation, knee extension and then ankle dorsiflexion and foot eversion. The largest cutaneous branch of the femoral nerve and is purely sensory. Pain may sometimes mimic tibial stress fracture, or aggravated by a pes anserine bursa. Any strength or motor deficits should rule out this diagnosis. Most exposed in the Hunter adductor canal coursing the sartorius. "
Knee,Lateral Knee Pain,Lateral Femoral Cutaneous Nerve,Nerve,majorInjury,"Rare nerve injury. Confirm with hip extension, knee flexion and then hip adduction. Are there gait changes that can address this nerve injury?"
Knee,Lateral Knee Pain,Common Peroneal Nerve,Nerve,majorInjury,"Most common lateral nerve injury in runners but is self limiting. Avoid running downhill, or a combination of plantarflexion and inversion if symptomatic. If there is concern of axonal damage with footdrop, TENs may be appropriate"
Hip & Groin,Anterior Hip,"Iliohypogastric, ilioinguinal, genitofemoral nerve entrapment",Nerve,majorInjury,"May mimic a sports hernia, but is distinguised by sharp border pain along the ASIS. May require a surgical consultation if anatomical variations are making it susceptible for entrapment and conservative treatment is not working"
Hip & Groin,Anterior Hip,Femoral nerve ,Nerve,majorInjury,"Repeated hip flexion during hills may be an aggravating factor. Use prone knee bend test as a way of ""flossing/desensitizing"" the nerve. Identify other factors that may be entraping the nerve"
Hip & Groin,Anterior Hip,Meralgia Paresthetica (lateral femoral cutaneous nerve),Nerve,majorInjury,"Rare injuries, not much known from the literature. Identify factors that are causing compression of the nerve. Increase mobility of joints around the affected area and gradually reintroduce loading."
Hip & Groin,Thigh,Meralgia Paresthetica (lateral femoral cutaneous nerve),Nerve,majorInjury,"Rare injuries, not much known from the literature. Identify factors that are causing compression of the nerve. Increase mobility of joints around the affected area and gradually reintroduce loading."
Hip & Groin,Thigh,Cruralgia (femoral nerve roots L2-L4),Nerve,majorInjury,"May occur from pregnancy, belt or phone band. Identify factors that are causing compression of the nerve. Increase mobility of joints around the affected area and gradually reintroduce loading."
Hip & Groin,Thigh,Posterior cutaneous nerve,Nerve,majorInjury,"Rare injuries, not much known from the literature. Identify factors that are causing compression of the nerve. Increase mobility of joints around the affected area and gradually reintroduce loading."
Hip & Groin,Thigh,Obturator Nerve,Nerve,majorInjury,"Rare nerve injury. Confirm with hip extension, knee flexion and then hip abduction. Are there gait changes or compressive clothing that can address this nerve injury?"
Hip & Groin,Lateral Hip,Cluneal nerves,Nerve,majorInjury,"Rare injuries, not much known from the literature. Identify factors that are causing compression of the nerve. Increase mobility of joints around the affected area and gradually reintroduce loading."
Hip & Groin,Lateral Hip,Lateral cutaneous nerve of thigh,Nerve,majorInjury,"Rare injuries, not much known from the literature. Identify factors that are causing compression of the nerve. Increase mobility of joints around the affected area and gradually reintroduce loading."
Hip & Groin,Pubalgia,Ilioinguinal adhesions leading to ilioguinal & iliohypogastric nerve entrapment,Nerve,majorInjury,Identify factors that are causing compression of the nerve such as repetition and high intra-abdominal pressure. Will require activity modification and maybe surgical consultation if walk-run program does not improve
Hip & Groin,Pubalgia,Genito-femoral nerve irritation,Nerve,majorInjury,"Rare injuries, not much known from the literature. Identify factors that are causing compression of the nerve. Increase mobility of joints around the affected area and gradually reintroduce loading."
Hip & Groin,Posterior Hip,Ilio-hypogastric nerve,Nerve,majorInjury,"Worsened by hip extension, lumbar extension and rotation, and over-striding. Iliopsoas can also compress the nerve. Avoid uphills, and overstriding. Try running drills, flexion-biased exercises and progress slowly in RTR program."
Hip & Groin,Posterior Hip,"Superior, medial, inferior cluneal nerves",Nerve,majorInjury,"Rare injuries, not much known from the literature. Identify factors that are causing compression of the nerve. Increase mobility of joints around the affected area and gradually reintroduce loading."
Hip & Groin,Posterior Hip,Posterior/Lateral cutaneous nerves of the thigh,Nerve,majorInjury,"Rare injuries, not much known from the literature. Identify factors that are causing compression of the nerve. Increase mobility of joints around the affected area and gradually reintroduce loading."
Foot,Dorsal Foot,Referred pain from L4-S1 segments,Referred / Spine,minorInjury,"Diaphragmatic breathing, deadbug, single glute bridges, bridge on ball. Avoid sit-ups, crunches, bicycle crunches, heavy lifting initially"
Leg,Anterolateral Leg,Radiculopathy (L5-S1),Referred / Spine,minorInjury,"Diaphragmatic breathing, deadbug, single glute bridges, bridge on ball. Avoid sit-ups, crunches, bicycle crunches, heavy lifting initially"
Leg,Posteromedial Leg,Radiculopathy L4-S1,Referred / Spine,minorInjury,"Diaphragmatic breathing, deadbug, single glute bridges, bridge on ball. Avoid sit-ups, crunches, bicycle crunches, heavy lifting initially"
Knee,Anterior Knee Pain,Referred pain from L4/L5 nerve roots,Referred / Spine,minorInjury,"Diaphragmatic breathing, deadbug, single glute bridges, bridge on ball. Avoid sit-ups, crunches, bicycle crunches, heavy lifting initially"
Knee,Medial Knee Pain,L3-L4 referred pain,Referred / Spine,minorInjury,"Diaphragmatic breathing, deadbug, single glute bridges, bridge on ball. Avoid sit-ups, crunches, bicycle crunches, heavy lifting initially"
Knee,Posterior Knee Pain,Sciatica (S1/S2 nerve roots),Referred / Spine,minorInjury,"Diaphragmatic breathing, deadbug, single glute bridges, bridge on ball. Avoid sit-ups, crunches, bicycle crunches, heavy lifting initially"
Knee,Lateral Knee Pain,Referred Pain L5,Referred / Spine,minorInjury,"Diaphragmatic breathing, deadbug, single glute bridges, bridge on ball. Avoid sit-ups, crunches, bicycle crunches, heavy lifting initially"
Hip & Groin,Lateral Hip,Referred pain from L4-S1,Referred / Spine,minorInjury,"Diaphragmatic breathing, deadbug, single glute bridges, bridge on ball. Avoid sit-ups, crunches, bicycle crunches, heavy lifting initially"
Hip & Groin,Pubalgia,Maigne Syndrome (T12-L2),Referred / Spine,minorInjury,"Unclear, refer to sports med if spinal and core exercises are not improving."
Hip & Groin,Posterior Hip,Referred lumbar pain L4-S1,Referred / Spine,minorInjury,"Diaphragmatic breathing, deadbug, single glute bridges, bridge on ball. Avoid sit-ups, crunches, bicycle crunches, heavy lifting initially"
Foot,Dorsal Foot,Tenosynovitis (Extensor Digitorum Longus),Tendon,minorInjury,"Identify factors such as too tight or a shoe tongue, toe box or downhill running. Increase mobility of forefoot and MTPs, load the tendons. Progress to B skips (clawing toes back) and emphasize running downhill, try with barefeet. Address the edema that can cause compression in a trail race over time"
Foot,Dorsal Foot,"Tibialis anterior, extensor hallucis digitorum longus/brevis (tendons)",Tendon,minorInjury,"Reduce compression of footwear, eccentric compression of downhill, progressive loading exercises"
Foot,Plantar Heel,Plantar fasciopathy,Fascia,minorInjury,"Many runners will want to protect the foot with thicker shoes instead of progressively loading it due to pain. Emphasize on barefoot walking, barefoot drills and running. Calf raises do not significantly load plantar fascia. Rare case for the shockwave machine to desensitize, but this can be substituted with a lacross ball."
Foot,Plantar Heel,"Tendinopathy (Flexor Digitorum Longus, Fibularis Longus, Abductor Hallucis Longus, Abductor Digiti Minimi)",Tendon,minorInjury,"Reduce compression of footwear, eccentric compression of downhill, progressive loading exercises"
Foot,Posterior Heel Pain,Achilles Tendinopathy,Tendon,minorInjury,"Insertional is usually eccentric compression of uphill, and speedwork. Remove aggravating factors, load and then re-integrate aggravating factors back in. Progress with A skips, then plyometrics, then frequent small runs before speedwork. High likelihood of recurrence as runners will self-discharge earlier than time-frame of tissue healing"
Foot,Posterior Heel Pain,"Tendinopathy (Flexor Digitorum/Hallucis Longus, Fibularis Longus/Brevis, Tibialis Posterior)",Tendon,minorInjury,"Reduce compression of footwear, eccentric compression of downhill, progressive loading exercises"
Foot,Posterior Heel Pain,Tenosynovitis (Flexor Digitorum Longus),Tendon,minorInjury,"Focus on flexor hallucis, calf raises with medial ankle rotation, progress to barefoot hopping with toes up, and barefoot running drills, and treadmill. Assess shoe or other aggravating the toes in extension."
Leg,Anterolateral Leg,"Tendons (Tib Ant, Ext D, Extensor Hallucis Longus)",Tendon,minorInjury,"Reduce compression of footwear, eccentric compression of downhill, progressive loading exercises"
Leg,Posteromedial Leg,"Tendons (Tib Post, Flex Dig, Flex Hallucis Longus)",Tendon,minorInjury,"Reduce compression of footwear, eccentric compression of downhill, progressive loading exercises. Assess if shoe is promoting painful foot pronation where a medial arch support or changing camber angles could help."
Knee,Anterior Knee Pain,Quadriceps tendinopathy,Tendon,minorInjury,"Rare in runners but may occur in more hill workouts. Remove hills initially, load the quadricep tendon above 90 degrees of squatting position and then back into deep squat and then hills. "
Knee,Anterior Knee Pain,Patellar tendinopathy,Tendon,minorInjury,"Downhill running may be an aggravating factor Careful or speedwork and plyometrics. Focus on 60 degree knee extension, and improving hamstring strength. Focus on volume before speed and downhill running. Downhill running will be prophylatic long term"
Knee,Medial Knee Pain,"Pes anserine Tendon (Sartorius, Semitendinosus, Gracilis)",Tendon,minorInjury,"Tendinous insertion group- Reduce compression of footwear, eccentric compression of downhill, progressive loading exercises"
Knee,Posterior Knee Pain,"Biceps femoris, semitendinosis/membranosus tendinopathy",Tendon,minorInjury,"Hamstring tendinous structures- Reduce compression of footwear, eccentric compression of downhill, progressive loading exercises"
